Designator,Mid X,Mid Y,Rotation,Layer
C1,79.121,-105.3465,90.0,top
C10,101.0655,-114.808,180.0,top
C11,121.5175,-108.204,180.0,top
C12,121.5605,-94.234,0.0,top
C13,121.3855,-91.186,0.0,top
C14,102.4625,-91.948,0.0,top
C15,94.502,-84.0105,180.0,top
C16,113.5875,-80.137,0.0,top
C17,88.505,-84.0105,180.0,top
C18,85.656,-109.901,0.0,top
C19,121.5125,-111.125,0.0,top
C2,89.9705,-99.441,180.0,top
C3,91.948,-105.777,270.0,top
C4,96.2395,-95.631,180.0,top
C5,96.1655,-109.347,180.0,top
C6,122.0205,-101.6,0.0,top
C7,96.32875,-97.904,0.0,top
C8,96.20375,-106.504,0.0,top
C9,118.9495,-80.137,180.0,top
D1,127.0545,-77.851,0.0,top
D2,79.6925,-113.034635,270.0,top
D3,127.127,-84.288,270.0,top
J1,129.286,-100.4316,0.0,top
J2,133.814,-85.516,90.0,top
J3,117.602,-85.725,270.0,top
Q1,83.312,-115.713,90.0,top
R1,123.2445,-80.2005,0.0,top
R10,124.816,-115.427,90.0,top
R11,122.784,-115.427,90.0,top
R12,120.752,-115.427,90.0,top
R13,118.72,-115.427,90.0,top
R14,116.688,-115.427,90.0,top
R15,114.656,-115.427,90.0,top
R2,125.206,-99.06,180.0,top
R3,90.1935,-109.901,180.0,top
R4,87.9935,-114.901,0.0,top
R5,109.22,-76.5265,270.0,top
R6,89.5985,-76.5265,270.0,top
R7,92.7935,-114.901,180.0,top
R8,128.905,-115.427,90.0,top
R9,126.848,-115.427,90.0,top
SW1,126.925,-72.608,0.0,top
SW2,115.5815,-72.6165,0.0,top
SW3,82.856,-72.6165,0.0,top
U1,104.898,-126.249501,0.0,top
U2,85.5595,-104.0765,180.0,top
U3,108.617,-102.417,270.0,top
XS1,99.184,-75.4485,180.0,top
Y1,96.06625,-102.163,90.0,top
